planning_shop_cluster,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25
AT,260,260,260,260,260,501514,6528279,10188432,5656793,315154,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,257,257,258,260,260,260,258,258,258,254,260,260,260,253,260,260,260,260,260,260,252,260,260,260,260,260,260,254,260,260,260,260,260,260,253,260,260,260,258,260,260,256,260,260,260,260,260,260,256
BE,260,260,260,260,260,501514,6528279,10188432,5656793,315154,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,257,257,258,260,260,260,258,258,258,254,260,260,260,253,260,260,260,260,260,260,252,260,260,260,260,260,260,254,260,260,260,260,260,260,253,260,260,260,258,260,260,256,260,260,260,260,260,260,256
BG,93756,87680,105164,117440,123764,621050,6643351,10263824,5752645,454034,225072,213664,229784,261156,75032,104916,184648,123764,245160,263760,308152,77264,108636,124136,229040,250244,234496,259420,78132,110000,125624,125376,126740,126368,125624,97848,123640,140628,410452,357008,355272,460176,89165,124505,141618,301208,294264,292652,345722,89786,125250,142482,393092,432028,453852,490425,90284,125996,143356,142860,147448,145836,152028,100452,126864,143108,271324,260040,260040,339394,77140,110992,117564,117564,117564,117564,124005,85448,111612,118184,257806,246028,263016,290292,78008,112232,118804,118804,118804,118804,125372
CH,260,260,260,260,260,501514,6528279,10188432,5656793,315154,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,257,257,258,260,260,260,258,258,258,254,260,260,260,253,260,260,260,260,260,260,252,260,260,260,260,260,260,254,260,260,260,260,260,260,253,260,260,260,258,260,260,256,260,260,260,260,260,260,256
CY,4476,5344,6336,6584,7204,506598,6533487,10193516,5662125,320858,8568,6832,7204,8568,4972,5716,7948,6336,5592,5592,5840,5716,5964,5840,11172,10304,8568,10428,4600,5344,5840,5840,5220,5220,5220,5096,5468,5840,14644,12536,13528,15512,4721,5465,5838,5964,5220,5344,5714,5218,5466,5958,14892,12660,13776,15753,4724,5592,5964,6088,5344,5468,5832,5344,5592,5964,11668,9932,9684,12158,3856,4352,4600,4848,4228,4228,4717,4228,4352,4724,11914,9064,9312,12284,3856,4352,4724,4848,4228,4352,4844
CZ,260,260,260,260,260,501514,6528279,10188432,5656793,315154,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,257,257,258,260,260,260,258,258,258,254,260,260,260,253,260,260,260,260,260,260,252,260,260,260,260,260,260,254,260,260,260,260,260,260,253,260,260,260,258,260,260,256,260,260,260,260,260,260,256
DE,260,260,260,260,260,501514,6528279,10188432,5656793,315154,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,257,257,258,260,260,260,258,258,258,254,260,260,260,253,260,260,260,260,260,260,252,260,260,260,260,260,260,254,260,260,260,260,260,260,253,260,260,260,258,260,260,256,260,260,260,260,260,260,256
DK,260,260,260,260,260,501514,6528279,10188432,5656793,315154,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,257,257,258,260,260,260,258,258,258,254,260,260,260,253,260,260,260,260,260,260,252,260,260,260,260,260,260,254,260,260,260,260,260,260,253,260,260,260,258,260,260,256,260,260,260,260,260,260,256
EE,260,260,260,260,260,501514,6528279,10188432,5656793,315154,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,257,257,258,260,260,260,258,258,258,254,260,260,260,253,260,260,260,260,260,260,252,260,260,260,260,260,260,254,260,260,260,260,260,260,253,260,260,260,258,260,260,256,260,260,260,260,260,260,256
ES,260,260,260,260,260,501514,6528279,10188432,5656793,315154,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,257,257,258,260,260,260,258,258,258,254,260,260,260,253,260,260,260,260,260,260,252,260,260,260,260,260,260,254,260,260,260,260,260,260,253,260,260,260,258,260,260,256,260,260,260,260,260,260,256
